ACCIDENTDATE_YEAR,ACCIDENTDATE_MONTH,Vehicle Type Desc,ACCIDENT_NO
2000,1,Bicycle,93
2000,1,Bus/Coach,14
2000,1,Car,1042
2000,1,Mini Bus(9-13 seats),2
2000,1,Moped,1
2000,1,Motor Cycle,159
2000,1,Motor Scooter,2
2000,1,Other Vehicle,12
2000,1,Panel Van,52
2000,1,Prime Mover (No of Trailers Unknown),36
2000,1,Rigid Truck(Weight Unknown),51
2000,1,Station Wagon,226
2000,1,Taxi,27
2000,1,Train,2
2000,1,Tram,6
2000,1,Unknown,27
2000,1,Utility,93
2000,2,Bicycle,115
2000,2,Bus/Coach,17
2000,2,Car,1104
2000,2,Mini Bus(9-13 seats),3
2000,2,Moped,1
2000,2,Motor Cycle,185
2000,2,Other Vehicle,17
2000,2,Panel Van,51
2000,2,Prime Mover (No of Trailers Unknown),40
2000,2,Rigid Truck(Weight Unknown),75
2000,2,Station Wagon,240
2000,2,Taxi,20
2000,2,Tram,11
2000,2,Unknown,38
2000,2,Utility,149
2000,3,Bicycle,113
2000,3,Bus/Coach,17
2000,3,Car,1261
2000,3,Horse (ridden or drawn),2
2000,3,Mini Bus(9-13 seats),2
2000,3,Motor Cycle,190
2000,3,Motor Scooter,2
2000,3,Other Vehicle,14
2000,3,Panel Van,66
2000,3,Prime Mover (No of Trailers Unknown),44
2000,3,Rigid Truck(Weight Unknown),83
2000,3,Station Wagon,269
2000,3,Taxi,28
2000,3,Tram,10
2000,3,Unknown,41
2000,3,Utility,152
2000,4,Bicycle,76
2000,4,Bus/Coach,14
2000,4,Car,1152
2000,4,Horse (ridden or drawn),2
2000,4,Mini Bus(9-13 seats),2
2000,4,Moped,1
2000,4,Motor Cycle,206
2000,4,Motor Scooter,1
2000,4,Other Vehicle,18
2000,4,Panel Van,64
2000,4,Prime Mover (No of Trailers Unknown),33
2000,4,Rigid Truck(Weight Unknown),54
2000,4,Station Wagon,264
2000,4,Taxi,41
2000,4,Train,1
2000,4,Tram,10
2000,4,Unknown,36
2000,4,Utility,106
2000,5,Bicycle,93
2000,5,Bus/Coach,21
2000,5,Car,1327
2000,5,Mini Bus(9-13 seats),1
2000,5,Moped,2
2000,5,Motor Cycle,114
2000,5,Motor Scooter,3
2000,5,Other Vehicle,17
2000,5,Panel Van,65
2000,5,Prime Mover (No of Trailers Unknown),43
2000,5,Rigid Truck(Weight Unknown),79
2000,5,Station Wagon,305
2000,5,Taxi,27
2000,5,Train,1
2000,5,Tram,10
2000,5,Unknown,35
2000,5,Utility,144
2000,6,Bicycle,50
2000,6,Bus/Coach,8
2000,6,Car,1149
2000,6,Horse (ridden or drawn),2
2000,6,Mini Bus(9-13 seats),3
2000,6,Motor Cycle,124
2000,6,Motor Scooter,4
2000,6,Other Vehicle,17
2000,6,Panel Van,64
2000,6,Prime Mover (No of Trailers Unknown),43
2000,6,Rigid Truck(Weight Unknown),60
2000,6,Station Wagon,223
2000,6,Taxi,38
2000,6,Train,2
2000,6,Tram,7
2000,6,Unknown,24
2000,6,Utility,120
2000,7,Bicycle,65
2000,7,Bus/Coach,13
2000,7,Car,1177
2000,7,Mini Bus(9-13 seats),2
2000,7,Motor Cycle,124
2000,7,Other Vehicle,17
2000,7,Panel Van,53
2000,7,Prime Mover (No of Trailers Unknown),35
2000,7,Rigid Truck(Weight Unknown),48
2000,7,Station Wagon,265
2000,7,Taxi,37
2000,7,Train,1
2000,7,Tram,7
2000,7,Unknown,43
2000,7,Utility,127
2000,8,Bicycle,70
2000,8,Bus/Coach,15
2000,8,Car,1177
2000,8,Mini Bus(9-13 seats),2
2000,8,Moped,3
2000,8,Motor Cycle,125
2000,8,Other Vehicle,20
2000,8,Panel Van,62
2000,8,Prime Mover (No of Trailers Unknown),38
2000,8,Rigid Truck(Weight Unknown),59
2000,8,Station Wagon,243
2000,8,Taxi,33
2000,8,Train,1
2000,8,Tram,17
2000,8,Unknown,35
2000,8,Utility,127
2000,9,Bicycle,72
2000,9,Bus/Coach,8
2000,9,Car,1075
2000,9,Mini Bus(9-13 seats),2
2000,9,Motor Cycle,135
2000,9,Other Vehicle,11
2000,9,Panel Van,67
2000,9,Prime Mover (No of Trailers Unknown),40
2000,9,Rigid Truck(Weight Unknown),57
2000,9,Station Wagon,219
2000,9,Taxi,34
2000,9,Train,1
